title,description,year,genre,type,cover_image
The Crow,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",2024,"Action, Fantasy, Horror",Movie,https://image.tmdb.org/t/p/w500//58QT4cPJ2u2TqWZkterDq9q4yxQ.jpg
Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",2024,"Action, Comedy, Science Fiction",Movie,https://image.tmdb.org/t/p/w500//8cdWjvZQUExUUTzyp4t6EDMubfO.jpg
It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",2024,"Romance, Drama",Movie,https://image.tmdb.org/t/p/w500//cSMdFWmajaX4oUMLx7HEDI84GkP.jpg
Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",2024,"Animation, Family, Adventure, Comedy, Fantasy, Drama",Movie,https://image.tmdb.org/t/p/w500//vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",2024,"Animation, Family, Comedy, Action",Movie,https://image.tmdb.org/t/p/w500//wWba3TaojhK7NdycRhoQpsG0FaH.jpg
Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there’s something sinister hiding beneath the island’s lush façade.",2024,"Mystery, Thriller",Movie,https://image.tmdb.org/t/p/w500//lZGOK0I2DJSRlEPNOAFTSNxSjDD.jpg
Hounds of War,"After a mission goes wrong, only one of a group of mercenaries is left alive to avenge his fallen brothers.",2024,"Action, Thriller",Movie,https://image.tmdb.org/t/p/w500//lRBT73EWsiQPuqK3YS3BnBW0Zwi.jpg
Hijack 1971,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.",2024,"Crime, Action, Adventure, Thriller, Drama",Movie,https://image.tmdb.org/t/p/w500//1ahGkWMv8Cehlf3hwCSlwJdXaej.jpg
Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",2024,"Comedy, Fantasy, Horror",Movie,https://image.tmdb.org/t/p/w500//kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg
Borderlands,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",2024,"Action, Science Fiction, Comedy",Movie,https://image.tmdb.org/t/p/w500//865DntZzOdX6rLMd405R0nFkLmL.jpg
Bad Boys: Ride or Die,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",2024,"Action, Crime, Thriller, Comedy",Movie,https://image.tmdb.org/t/p/w500//oGythE98MYleE6mZlGs5oBGkux1.jpg
The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",2024,"Drama, Horror, Science Fiction",Movie,https://image.tmdb.org/t/p/w500//lqoMzCcZYEFK729d6qzt349fB4o.jpg
Afraid,Curtis Pike and his family are selected to test a new home device: a digital assistant called AIA. AIA observes the family's behaviors and begins to anticipate their needs. And she can – and will – make sure nothing – and no one – gets in her family's way.,2024,"Horror, Science Fiction, Thriller",Movie,https://image.tmdb.org/t/p/w500//gUREuXCnJLVHsvKXDH9fgIcfM6e.jpg
Officer Black Belt,A talented martial artist who can't walk past a person in need unites with a probation officer to fight and prevent crime as a martial arts officer.,2024,"Action, Comedy, Crime",Movie,https://image.tmdb.org/t/p/w500//rEaJSXAlNfdhRpDHiNcJsoUa9qE.jpg
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",2024,"Animation, Science Fiction, Adventure, Family",Movie,https://image.tmdb.org/t/p/w500//qbkAqmmEIZfrCO8ZQAuIuVMlWoV.jpg
Subservience,"With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",2024,"Science Fiction, Thriller, Horror",Movie,https://image.tmdb.org/t/p/w500//gBenxR01Uy0Ev9RTIw6dVBPoyQU.jpg
Outlaw,"At the age of nine, Rebeca is sold by her grandmother to the bookseller who ran Rocinha. Disputed by bicheiros and drug dealers, the community is going through changes in power. Rebeca becomes the wife of the chief drug dealer and, with the death of her partner, his successor. The electrifying trajectory of crime, violence, drugs and love of a female drug kingpin in Rocinha, Rio de Janeiro in the 1980s.",2024,"Action, Crime, Drama",Movie,https://image.tmdb.org/t/p/w500//rGS8SzheANVQicNba0GCE6w1XHb.jpg
The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024,"Animation, Science Fiction, Family",Movie,https://image.tmdb.org/t/p/w500//hn4fOpFlbak5ruxkdrmdijs38Yl.jpg
Chapel,A man becomes a suspect in a serial murder case after waking from a coma with no recollection of who he is.,2024,"Mystery, Thriller",Movie,https://image.tmdb.org/t/p/w500//94sIggRUBioP19m3vJQfV3lq6Z6.jpg
Rebel Ridge,A former Marine confronts corruption in a small town when local law enforcement unjustly seizes the bag of cash he needs to post his cousin's bail.,2024,"Crime, Action, Thriller, Drama",Movie,https://image.tmdb.org/t/p/w500//xEt2GSz9z5rSVpIHMiGdtf0czyf.jpg
Saving Bikini Bottom: The Sandy Cheeks Movie,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.",2024,"Animation, Comedy, Adventure, Family",Movie,https://image.tmdb.org/t/p/w500//30YnfZdMNIV7noWLdvmcJS0cbnQ.jpg
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",2024,"Horror, Science Fiction, Action",Movie,https://image.tmdb.org/t/p/w500//b33nnKl1GSFbao4l3fZDDqsMx0F.jpg
The Garfield Movie,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",2024,"Animation, Comedy, Family, Adventure, Action",Movie,https://image.tmdb.org/t/p/w500//p6AbOJvMQhBmffd0PIv0u8ghWeY.jpg
xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",2002,"Action, Adventure, Thriller, Crime",Movie,https://image.tmdb.org/t/p/w500//xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg
Kung Fu Games,"Notorious fighters are trapped in lethal martial arts games by a sadistic magnate. Armed only with their combat skills, they face brutal battles for survival in a deadly kill-or-be-killed showdown.",2024,Action,Movie,https://image.tmdb.org/t/p/w500//yjDdBBUEBMvyUiVohZ8T7W2IFl6.jpg
Twisters,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",2024,"Action, Adventure, Thriller",Movie,https://image.tmdb.org/t/p/w500//pjnD08FlMAIXsfOLKQbvmO0f0MD.jpg
Cuckoo,"After reluctantly moving to the German Alps with her father and his new family, Gretchen discovers that their new town hides sinister secrets, as she's plagued by strange noises and frightening visions of a woman pursuing her.",2024,"Horror, Mystery, Science Fiction",Movie,https://image.tmdb.org/t/p/w500//mpryn3TuSPNG5ELRxyrKfblxJ9R.jpg
Mantra Warrior: The Legend of The Eight Moons,"A story inspired by the original RAMAYANA, retold in a futuristic universe, involving brave warriors who possess ancient powers from another dimension.",2023,"Animation, Action, Adventure, Fantasy, Science Fiction",Movie,https://image.tmdb.org/t/p/w500//sQE0VegwDa0GHjawfNRr1sFgVE2.jpg
